code,title,release_date,runtime,estimated_budget,estimated_income,distributor_id
0300556,Timeline,1924-07-11,116,80000000,43935800,22918
0146838,Any Given Sunday,1990-01-09,156,55000000,100200000,34052
0153526,The Merry Widow,1942-02-18,99,1605000,1747000,58819
0182295,Love's Labour's Lost,1972-12-18,93,13000000,299792,1475269
0011603,The Prince of Avenue A,1968-07-18,50,,,170326
0104802,The Mambo Kings,1972-03-09,104,15500000,6700000,34052
0421054,Domino,1971-12-17,127,50000000,22944500,408368
0096866,The BFG,2003-12-15,92,,,7543823
0113463,Jefferson in Paris,1993-09-10,139,14000000,2473670,1475269
0038353,Beware,2011-07-19,54,,,14299145
0019988,His Glorious Night,1998-03-27,80,,,58819
0011144,An Eastern Westerner,2013-10-07,20,,,15434457
0098838,The Kennedys of Massachusetts,1933-11-03,278,,,62027
0087386,Harry & Son,2000-11-13,117,16000000,4864980,218723
0039581,The Long Night,1986-03-12,101,,,36437899
1244754,Conviction,1954-12-01,107,12500000,9710060,414415
0039694,The Paradine Case,1995-07-22,114,4258000,2100000,67370
0034091,The Reluctant Dragon,1925-07-09,74,600000,,36437899
0126859,The Loss of Sexual Innocence,1962-01-24,106,,164022,18449037
0026191,Ceiling Zero,1998-04-08,95,,,34052
0060045,630.0,2001-09-12,85,,,58819
0051196,Will Success Spoil Rock Hunter?,1988-02-11,93,1050000,4900000,170318
0065872,I Never Sang for My Father,1952-09-09,92,,,175634
0064615,Mackenna's Gold,1947-06-30,128,7000000,3100000,175634
0025746,The Scarlet Empress,1987-05-29,104,,,22918
0365478,Man with the Screaming Brain,1984-10-19,90,3000000,,272659
0057379,The Old Dark House,1993-01-17,86,,,175634
0060228,Chamber of Horrors,2005-05-21,99,,,34052
0117107,Mulholland Falls,1934-01-14,107,29000000,11526100,58819
0038104,A Song to Remember,1973-03-13,113,,,175634
0080904,Humanoids from the Deep,1955-01-29,80,,2500000,2065670
0028509,Windbag the Sailor,1951-05-12,87,,,822142
0053363,The Tingler,1969-06-07,82,250000,,175634
0017855,Eve's Love Letters,1980-05-24,22,,,15434457
0049027,The Bottom of the Bottle,1969-05-26,88,1695000,1100000,170318
0116913,Looking for Richard,1977-04-18,112,,,170318
0058145,A Global Affair,1984-07-24,84,,,58819
0025196,Grand Canary,1997-05-10,78,,,10573
0074923,"Mother, Jugs & Speed",1988-10-29,98,3220000,7630000,170318
0298390,Die Jungfrau auf dem Dach,2011-01-18,99,,,174319
0001740,The Lonedale Operator,1956-01-25,17,,,1224336
0143123,"Big Gus, What's The Fuss?",1926-04-15,94,,,105410
0060741,The Navy vs. the Night Monsters,1985-03-21,87,178000,,14206937
0010418,Male and Female,1956-02-26,116,168619,1256230,22918
0050985,The Smallest Show on Earth,1959-12-14,80,,,7363226
0079271,Hardcore,1945-06-01,109,,,175634
0106664,The Dark Half,2005-02-01,121,15000000,10600000,218723
0035413,"Take a Letter, Darling",1973-01-24,92,,1800000,22918
0061814,The Incident,1994-01-09,107,1050000,,170318
0017825,Downhill,2003-07-27,74,,,20637551
0012538,Outside the Law,2010-09-10,75,,,170326
0041094,The Adventures of Ichabod and Mr. Toad,2007-09-16,68,,,36437899
0069729,The Arena,1948-11-28,83,,,2065670
0032410,Down Argentine Way,1945-05-18,89,,2000000,170318
0037382,To Have and Have Not,1940-11-26,100,,3650000,34052
0002126,Custer's Last Fight,2002-01-03,30,,,2832764
0084675,Shoot the Moon,1928-02-13,124,12000000,9217530,174319
0097647,"The Karate Kid, Part III",1948-03-06,112,12500000,38900000,175634
0282687,Life or Something Like It,1998-02-11,103,40000000,16872700,170318
0099699,Green Card,1991-07-05,107,,29888200,1475269
0118954,Deconstructing Harry,1946-12-02,96,20000000,10569100,673150
0066162,Norwood,1944-11-26,96,,1750000,22918
0073451,The Nickel Ride,1935-11-16,99,1400000,,170318
0012303,I Do,1935-12-30,26,,,15434457
0021224,Outside the Law,2005-03-25,70,,,170326
0035153,One of Our Aircraft is Missing,1979-06-19,82,,478939,4446974
0070284,Lady Ice,1996-03-28,94,,,11260926
0309735,Jim Brown: All-American,1932-05-07,140,,,4765530
0113972,Nick of Time,1976-03-14,90,33000000,8175350,22918
0189744,Miss Julie,1947-09-24,103,,,58819
0057916,A Carol for Another Christmas,2015-04-13,84,,,62027
0051993,Night of the Blood Beast,1955-07-02,62,68000,,203231
0020092,The Letter,1946-01-29,65,,,22918
0070351,The Mackintosh Man,1946-02-10,98,,1500000,34052
0034922,Journey Into Fear,1930-01-07,68,,,36437899
0043132,Where the Sidewalk Ends,2009-06-09,95,,,170318
0316732,Taxi,1948-03-24,97,25000000,68900000,170318
0033752,In Old Cheyenne,1936-07-26,54,,,405370
0073195,Jaws,1955-01-12,124,9000000,470700000,170326
0020437,South Sea Rose,1989-06-10,69,,,10573
0022360,Seed,1989-02-03,96,,,170326
0326901,Good Fences,1954-02-09,119,,,949961
0019325,Riley the Cop,1979-04-22,68,,,170318
0027097,Three Little Beers,1939-05-30,17,,,175634
0466856,ATL,1981-09-25,105,20000000,21200000,34052
0075784,Story of A Bridge Too Far,2013-04-15,176,25000000,50750000,174319
0420740,A Little Trip to Heaven,1941-01-26,86,4000000,,12062865
0031473,Idiot's Delight,2002-06-24,107,1519000,1167000,58819
0393162,Coach Carter,1930-08-18,134,30000000,76700000,22918
0112553,Bombay,1991-02-24,138,,,10627754
0039808,The Secret Life of Walter Mitty,1934-12-08,110,,3350000,36437899
0061318,Mackenna's Gold,2010-06-05,128,7000000,3100000,175634
0054315,Ski Troop Attack,1957-08-02,63,,,36096281
0061619,El Dorado,1971-08-02,126,4653000,5950000,22918
0103859,Boomerang,1982-02-15,117,42000000,131052000,22918
1356864,I'm Still Here,1996-12-27,106,,565149,1582565
0088689,Alamo Bay,1960-03-05,98,,380970,664762
0070903,The Way We Were,1943-09-19,118,15000000,49919900,175634
0044941,My Son John,1952-09-08,122,,,22918
0087263,Firstborn,1960-11-13,103,,6200000,22918
0001724,The Last Drop of Water,1970-09-23,18,,,1224215
0072271,The Texas Chain Saw Massacre,1929-02-23,84,300000,30800000,5968537
0102258,Lamhe,1955-07-20,187,,,3400189
0074650,How Much Wood Would a Woodchuck Chuck,1981-06-11,45,,,33138
0071733,Lacombe Lucien,1920-08-13,138,,13100000,9910191
0044828,Last of the Comanches,1945-04-28,85,,,175634
0086011,A Night in Heaven,1964-11-27,83,6000000,5563660,170318
0056825,"America, America",2002-02-13,174,,,34052
0011521,"http://dbpedia.org/resource/File:Number,_Please_(1920).webm",1926-08-28,23,,,15434457
0091578,My Beautiful Laundrette,1992-05-19,97,,2451540,218723
0109676,Drop Zone,1985-12-19,101,45000000,28735300,22918
0009440,Old Wives for New,1974-10-21,60,,,22918
0057449,The Raven,1967-02-10,86,350000,1499280,203231
0036022,The Human Comedy,1932-11-07,118,1000000,3900000,58819
0478366,The Journals of Knud Rasmussen,1985-04-18,112,6300000,,352422
0090060,St. Elmo's Fire,1931-11-16,110,10000000,37803900,175634
0078111,Pretty Baby,1980-05-28,109,,5786370,22918
00457939,The Holiday,1981-11-14,136,85000000,205100000,175634
0043350,The Blue Veil,1982-06-27,113,,3550000,36437899
0010526,One Week of Life,1929-07-20,50,,,635013
0043910,Payment on Demand,1993-03-17,90,,1600000,36437899
0331933,Man of the House,1991-08-27,100,40000000,21577600,175634
0050631,Les Girls,1944-08-23,114,3384000,3865000,58819
0049666,Rebel in Town,1961-07-06,78,,,174319
0028944,The Good Earth,1970-12-12,138,2816000,3557000,58819
0234119,Little Mother,1934-03-11,20,,,58819
0043743,The Light Touch,1972-09-25,93,1163000,1281000,58819
0465234,National Treasure,1955-04-27,255,,804900000,1475269
0119934,Without Limits,1935-09-17,117,25000000,777423,34052
0053583,All the Young Men,1925-02-19,90,1000000,2000000,175634
0064041,The Arrangement,1933-04-22,125,,4000000,922901
0885403,Ang Cute Ng Ina Mo,1973-07-14,102,,,2652260
0130236,Samurai Cop,1973-10-26,96,,,14342916
0033045,The Shop Around the Corner,1995-06-09,99,500000,380000,58819
0857265,Sleuth,1960-09-19,88,,4872440,408358
0057984,Curse of Simba,1981-12-07,61,,,1588593
0075276,Stroszek,1923-11-01,116,,,33138
0031742,Of Mice and Men,1983-11-30,107,,,174319
0038419,Cluny Brown,2013-05-12,100,,,170318
0035244,Reap the Wild Wind,1994-08-03,123,,4000000,22918
0056447,Satan Never Sleeps,2009-03-08,125,2885000,,170318
0076755,The Squeeze,1962-02-19,104,,,34052
0047880,The Big Knife,1965-06-13,111,460000,1250000,174319
0036613,Arsenic and Old Lace,2011-05-28,118,1120180,,34052
0031750,The Old Maid,1926-03-11,95,,,34052
0050748,Naked Paradise,1943-06-06,68,100000,,203231
0062888,Diamonds for Breakfast,1929-11-22,102,1300000,,22918
0038765,My Reputation,1928-09-27,94,,3000000,34052
0049287,Gunslinger,1979-11-04,77,,,203231
0192120,His Regeneration,2004-03-27,15,,,189204
0064396,The Guru,2000-11-11,112,970000,,170318
0065146,Love Is a Funny Thing,1936-07-18,110,,,174319
0095496,Last Rites,1957-08-14,103,,427000,58819
0010137,"For Better, for Worse",1991-04-17,70,1261,256073,22918
0104522,Into the West,1956-02-27,97,,,74996
0016775,Desert Gold,1926-04-18,70,,,22918
0023470,The Sign of the Cross,2008-05-14,125,650000,,22918
0031478,In Old Caliente,1942-04-07,54,,,405370
0038392,California,2014-10-27,97,,3900000,22918
0063115,"I Love You, Alice B. Toklas",1962-04-30,94,,1100000,922901
0090570,84,1934-02-24,100,,1000000,175634
0046387,The Sword and the Rose,2014-10-04,92,,1000000,36437899
0085547,The First Turn-On!,1936-03-17,90,,,105410
0050298,The Deep Six,1938-04-26,108,,,34052
0039404,Fun and Fancy Free,1938-11-27,73,,2400000,36437899
0465142,American Dreamz,2010-04-06,107,17000000,16458500,170326
0100139,Meridian: Kiss Of The Beast,1984-05-02,85,,,5793438
0104928,Mr. Saturday Night,1981-04-01,119,43000000,13300000,175634
0036952,In Our Time,1997-01-10,110,,,34052
0029504,Rushin' Ballet,1983-08-18,11,,,58819
0048140,Guys and Dolls,2012-05-04,150,5500000,20000000,58819
0033910,Million Dollar Baby,1976-08-17,100,,,34052
0301727,Winged Migration,2004-03-10,98,,,408358
0031216,Days of Jesse James,1951-10-13,63,,,405370
0048484,Pete Kelly's Blues,1957-11-16,95,2000000,5000000,34052
0053337,Teenagers from Outer Space,2009-01-31,86,20000,,34052
0039066,Undercurrent,1994-12-04,116,1644000,4327000,58819
0079319,Hurricane,2012-10-06,120,,,22918
0450232,16,1927-09-13,110,55000000,65600000,34052
0042947,September Affair,1945-07-12,104,,1425000,22918
0016127,The Mountain Eagle,2015-11-30,57,,,41387509
0076717,The Singer and the Dancer,2008-02-04,52,27000,,175634
0080365,American Gigolo,2000-07-27,117,4800000,22743700,22918
0031516,Juarez,1993-11-09,125,,,34052
0165634,Bedhead,1920-10-07,8,,,175634
0036983,The Keys of the Kingdom,2008-09-05,136,3000000,,170318
0057693,X: The Man with the X-ray Eyes,2005-06-17,79,250000,,203231
0034961,The Lady is Willing,1982-03-09,92,,,175634
0047681,World for Ransom,1944-12-14,82,100000,,1588593
0056601,The Brain,1967-09-04,83,,,175634
0158493,Belly,1924-02-14,92,,9639390,706664
0045296,Viva Zapata!,1940-09-12,113,1800000,1900000,170318
0032354,Conquest of the Air,2000-07-10,71,,,1476733
0433605,Naach,1988-12-21,150,,,21844874
0280696,Garage Days,1994-01-18,105,,,414415
0096193,Sunset,1924-10-27,103,19000000,4594450,664762
0058529,Robin and the 7 Hoods,1987-10-23,124,,4200000,34052
0113097,Forget Paris,2001-12-21,101,21000000,33177700,175634
0052002,No Name on the Bullet,1956-03-27,77,,,170326
0052992,The Last Mile,1943-12-26,81,,,174319
0021730,The Champ,1962-06-01,87,,1500000,58819
0048079,Flame of the Islands,2004-07-05,90,,,405370
0038984,A Stolen Life,1925-01-01,109,,3000000,34052
0042895,Rio Grande,1998-01-02,105,,2250000,405370
0119107,"Fast, Cheap & Out of Control",1962-09-22,80,,878960,408358
0027532,Dodsworth,1959-02-18,101,,1600000,174319
0061927,Luv,1938-01-30,93,,1000000,175634
0032158,Zenobia,1979-06-06,65,,,174319
0043450,Daredevil Droopy,1939-07-26,7,,,58819
0400525,The Ice Harvest,1992-12-01,92,16000000,10157000,408350
0050252,China Gate,2014-04-03,97,150000,,170318
0065636,Diary of a Mad Housewife,1964-09-27,104,,6100000,170326
0032312,The Carson City Kid,2008-12-15,57,,,405370
0050379,A Farewell to Arms,1964-04-20,152,4353000,20000000,170318
0015016,The Iron Horse,1953-07-30,133,280000,,170318
0347304,Kal Ho Naa Ho,1947-01-25,188,,,3400189
0083238,Tuppen,1921-03-06,97,,,8073395
0012117,Don't Tell Everything,1943-06-07,50,,,22918
0365929,Whiteout,1932-12-27,101,35000000,17840900,34052
0030082,The Drum,1952-03-03,104,,,1476733
0067258,J. W. Coop,1921-06-16,112,,,175634
0022958,Grand Hotel,1994-07-15,112,750000,2250000,58819
0033606,The Flame of New Orleans,1960-06-05,79,2000000,,170326
0059197,Four Days in November,1960-11-11,122,,,174319
0018526,Underworld,2007-10-28,80,,,22918
0017075,The Lodger: A Story of the London Fog,1983-01-29,80,,,41387509
0040270,The Dark Past,1968-07-03,75,,,175634
0082979,Reds,1964-05-06,194,32000000,50000000,22918
0370358,Blue Thunder,2002-09-17,109,11000000,42313400,175634
0033432,The Bride Came C.O.D.,1920-06-11,92,,,34052
0051899,Man of the West,1938-09-01,100,1500000,,174319
0024326,Men of Tomorrow,1950-01-12,88,,,22918
0264395,Basic,1972-05-11,98,50000000,42800000,175634
0106770,Dragon: The Bruce Lee Story,1959-01-09,120,14000000,63500000,170326
0103125,True Colors,1922-06-20,111,,418807,22918
0102715,Prisoner of Honour,2013-06-29,88,,,866593
0044357,Angel Face,1923-08-20,91,,,36437899
0315824,The Big Bounce,1967-05-03,88,,6808550,34052
0250460,Kappalottiya Thamizhan,1950-10-28,177,,,11928916
0023911,Counsellor at Law,1955-09-30,82,,,170326
0046414,Beat the Devil,1981-10-24,89,,,174319
0110657,The Next Karate Kid,1939-08-15,107,12000000,15800000,175634
0030442,Merrily We Live,2001-09-24,95,,,58819
0312409,Bad Eggs,2001-02-01,98,4500000,2300000,1104368
0084809,The Toy,1999-10-28,102,,47118100,175634
0091027,Eye of the Tiger,1942-02-02,92,,,1104368
0011293,High and Dizzy,1968-02-28,26,,,15434457
0235742,Sandhya Raagam,1999-08-17,84,,,383467
0026139,Bright Lights,1950-10-07,83,,,34052
0082964,Quartet,1967-05-08,101,,,188844
0007038,Maria Rosa,1963-07-14,50,,,2653308
0220100,Timecode,2009-05-19,97,4000000,,2764750
0084412,Night Shift,1984-05-02,105,,23600000,34052
0119288,Hideous!,1997-04-27,82,,,5793438
0064625,Maidstone,1990-03-05,110,,,1129400
0119528,Liar Liar,1942-07-10,86,45000000,302700000,170326
0048937,Alexander the Great,1981-07-21,135,,2500000,174319
0070248,Jonathan Livingston Seagull,1921-04-17,120,1500000,1600000,22918
0120835,A Soldier's Daughter Never Cries,1983-08-11,127,,,673079
0071288,The Castaway Cowboy,2013-07-18,91,,,1475269
0235084,Your Own Back Yard,2008-11-03,20,,,1012698
0083081,Silsila,1922-10-23,183,,,3400189
0023198,The Match King,1977-03-31,79,165000,,34052
0067699,A Safe Place,1950-07-21,94,,,175634
0347473,Main Hoon Na,1923-08-05,173,,,8630414
0033435,Broadway Limited,1968-01-07,75,,,174319
0050906,Rock All Night,2007-08-20,62,,,203231
0482495,Doll Graveyard,1971-11-06,71,,,5793438
0133952,The Siege,1952-07-23,116,70000000,116673000,170318
0037627,Dakota,1947-04-10,82,,,405370
0029806,You Can't Have Everything,1996-12-01,100,,,170318
0166935,The Snow Queen,2015-06-26,64,,,170326
0052607,The Battle of the Sexes,1991-02-25,84,,,5968537
0233747,The Fourth Alarm,1921-11-21,20,,,1012698
0040536,Letter from an Unknown Woman,1967-07-04,86,,,170326
0077769,Jennifer,1944-02-25,90,,,203231
0041796,Reign of Terror,1978-01-03,89,771623,692671,2339219
